its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
E_kin, E_pot, E_tot, <T>, T, <P>, P, a
18.050977, -530.993875, -512.942898, 765.802414, 545.502316, -0.000324, -0.001988, 3.999598
18.011535, -530.984847, -512.973312, 764.826678, 544.310370, -0.000331, -0.001935, 3.999587
17.975248, -530.978237, -513.002989, 763.854692, 543.213776, -0.000338, -0.001882, 3.999576
17.942278, -530.974181, -513.031903, 762.886843, 542.217425, -0.000345, -0.001831, 3.999566
17.912831, -530.972950, -513.060120, 761.923542, 541.327528, -0.000351, -0.001779, 3.999555
17.887158, -530.974901, -513.087744, 760.965222, 540.551679, -0.000357, -0.001728, 3.999545
17.865557, -530.980413, -513.114856, 760.012350, 539.898910, -0.000363, -0.001676, 3.999536
17.848354, -530.989890, -513.141536, 759.065426, 539.379022, -0.000368, -0.001624, 3.999526
17.835892, -531.003763, -513.167871, 758.124986, 539.002440, -0.000373, -0.001573, 3.999517
17.828539, -531.022439, -513.193900, 757.191604, 538.780214, -0.000378, -0.001520, 3.999508
17.826656, -531.046486, -513.219830, 756.265891, 538.723318, -0.000383, -0.001468, 3.999500
17.830602, -531.076283, -513.245681, 755.348493, 538.842551, -0.000387, -0.001415, 3.999491
17.840703, -531.112366, -513.271664, 754.440086, 539.147809, -0.000391, -0.001362, 3.999484
17.857203, -531.155020, -513.297818, 753.541368, 539.646442, -0.000395, -0.001309, 3.999476
17.880273, -531.204601, -513.324328, 752.653044, 540.343623, -0.000399, -0.001256, 3.999468
17.910019, -531.261282, -513.351263, 751.775822, 541.242541, -0.000402, -0.001203, 3.999461
17.946457, -531.325292, -513.378835, 750.910400, 542.343714, -0.000405, -0.001150, 3.999455
17.989509, -531.396628, -513.407119, 750.057455, 543.644751, -0.000408, -0.001097, 3.999448
18.038955, -531.475236, -513.436281, 749.217626, 545.138998, -0.000410, -0.001043, 3.999442
18.094439, -531.560929, -513.466490, 748.391495, 546.815755, -0.000413, -0.000988, 3.999436
18.155522, -531.653311, -513.497789, 747.579586, 548.661684, -0.000415, -0.000934, 3.999431
18.221679, -531.751985, -513.530306, 746.782344, 550.660952, -0.000417, -0.000878, 3.999425
18.292297, -531.856466, -513.564168, 746.000137, 552.795043, -0.000418, -0.000823, 3.999420
18.366691, -531.966213, -513.599522, 745.233242, 555.043240, -0.000420, -0.000766, 3.999416
18.444119, -532.080408, -513.636289, 744.481842, 557.383100, -0.000421, -0.000709, 3.999411
18.523804, -532.198511, -513.674707, 743.746022, 559.791198, -0.000422, -0.000652, 3.999407
18.604967, -532.319606, -513.714639, 743.025776, 562.243960, -0.000423, -0.000594, 3.999404
18.686836, -532.443065, -513.756228, 742.321002, 564.718050, -0.000423, -0.000537, 3.999400
18.768660, -532.568130, -513.799470, 741.631513, 567.190772, -0.000423, -0.000479, 3.999397
18.849731, -532.694092, -513.844361, 740.957040, 569.640737, -0.000423, -0.000421, 3.999395
18.929396, -532.820238, -513.890842, 740.297240, 572.048229, -0.000423, -0.000362, 3.999392
19.007073, -532.946025, -513.938952, 739.651708, 574.395643, -0.000423, -0.000302, 3.999390
19.082261, -533.070844, -513.988582, 739.019988, 576.667836, -0.000422, -0.000242, 3.999389
19.154533, -533.194249, -514.039716, 738.401578, 578.851902, -0.000421, -0.000181, 3.999387
19.223516, -533.315754, -514.092238, 737.795943, 580.936563, -0.000420, -0.000120, 3.999386
19.288884, -533.435092, -514.146208, 737.202518, 582.911990, -0.000418, -0.000060, 3.999386
19.350357, -533.551810, -514.201453, 736.620714, 584.769722, -0.000417, 0.000002, 3.999385
19.407686, -533.665609, -514.257923, 736.049921, 586.502192, -0.000415, 0.000064, 3.999385
19.460616, -533.776130, -514.315514, 735.489511, 588.101747, -0.000413, 0.000128, 3.999386
19.508885, -533.883099, -514.374214, 734.938835, 589.560453, -0.000411, 0.000193, 3.999386
19.552229, -533.986032, -514.433803, 734.397224, 590.870307, -0.000408, 0.000259, 3.999387
19.590344, -534.084629, -514.494285, 733.863984, 592.022137, -0.000405, 0.000326, 3.999389
19.622877, -534.178377, -514.555500, 733.338392, 593.005278, -0.000402, 0.000394, 3.999391
19.649444, -534.266858, -514.617414, 732.819692, 593.808152, -0.000399, 0.000463, 3.999393
19.669607, -534.349342, -514.679736, 732.307092, 594.417468, -0.000396, 0.000533, 3.999395
19.682870, -534.425375, -514.742505, 731.799753, 594.818280, -0.000392, 0.000604, 3.999398
19.688704, -534.494225, -514.805521, 731.296793, 594.994578, -0.000388, 0.000678, 3.999402
19.686555, -534.555126, -514.868572, 730.797279, 594.929632, -0.000384, 0.000754, 3.999406
19.675895, -534.607465, -514.931569, 730.300236, 594.607507, -0.000379, 0.000830, 3.999410
19.656238, -534.650599, -514.994361, 729.804648, 594.013470, -0.000375, 0.000908, 3.999415
19.627154, -534.683892, -515.056737, 729.309467, 593.134554, -0.000370, 0.000988, 3.999420
19.588298, -534.706723, -515.118425, 728.813621, 591.960304, -0.000365, 0.001069, 3.999425
19.539434, -534.718753, -515.179319, 728.316031, 590.483621, -0.000359, 0.001153, 3.999431
19.480458, -534.719679, -515.239221, 727.815620, 588.701374, -0.000353, 0.001239, 3.999438
19.411408, -534.709262, -515.297855, 727.311331, 586.614666, -0.000347, 0.001326, 3.999445
19.332501, -534.687599, -515.355097, 726.802145, 584.230114, -0.000341, 0.001414, 3.999452
19.244138, -534.654889, -515.410750, 726.287101, 581.559770, -0.000335, 0.001504, 3.999460
19.146883, -534.611433, -515.464550, 725.765312, 578.620713, -0.000328, 0.001595, 3.999469
19.041494, -534.557874, -515.516380, 725.235983, 575.435846, -0.000321, 0.001688, 3.999477
18.928911, -534.494998, -515.566087, 724.698431, 572.033561, -0.000313, 0.001783, 3.999487
18.810233, -534.423735, -515.613502, 724.152097, 568.447116, -0.000306, 0.001878, 3.999497
18.686709, -534.345276, -515.658568, 723.596565, 564.714193, -0.000298, 0.001973, 3.999508
18.559706, -534.260843, -515.701137, 723.031563, 560.876160, -0.000290, 0.002068, 3.999519
