its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
26.016528, -640.752514, -614.735987, 833.215826, 786.222054, 1598.072931, 1640.483259, 4.030000
26.741928, -641.548743, -614.806815, 833.060099, 808.143716, 1598.135254, 1608.107045, 4.030000
27.652813, -642.585748, -614.932934, 833.076214, 835.670765, 1598.091791, 1591.094120, 4.030000
27.334246, -642.215883, -614.881637, 833.033069, 826.043636, 1598.236344, 1621.654054, 4.030000
26.407926, -641.163647, -614.755721, 832.819759, 798.050147, 1598.722427, 1677.953814, 4.030000
26.503272, -641.265469, -614.762197, 832.626497, 800.931517, 1599.100294, 1661.070593, 4.030000
27.495474, -642.393639, -614.898165, 832.616192, 830.915954, 1599.065370, 1593.302807, 4.030000
27.726862, -642.611038, -614.884176, 832.647883, 837.908531, 1598.911070, 1573.297332, 4.030000
27.114744, -641.881981, -614.767237, 832.569088, 819.410268, 1598.900412, 1597.120479, 4.030000
27.079778, -641.823215, -614.743437, 832.484972, 818.353580, 1598.973841, 1611.310018, 4.030000
28.035983, -642.869766, -614.833783, 832.571826, 847.250186, 1598.952916, 1595.416544, 4.030000
28.812701, -643.720846, -614.908144, 832.794931, 870.722700, 1598.800518, 1572.892886, 4.030000
28.289684, -643.185792, -614.896108, 832.923548, 854.917057, 1598.698099, 1581.184464, 4.030000
26.771748, -641.556426, -614.784677, 832.785521, 809.044889, 1598.876052, 1629.483854, 4.030000
25.838746, -640.572251, -614.733505, 832.487038, 780.849483, 1599.270986, 1667.594614, 4.030000
26.282008, -641.085840, -614.803832, 832.268511, 794.244879, 1599.612192, 1658.982097, 4.030000
27.241698, -642.117520, -614.875822, 832.217252, 823.246828, 1599.733133, 1620.897684, 4.030000
27.800502, -642.649235, -614.848733, 832.261979, 840.133918, 1599.572609, 1571.320446, 4.030000
28.245257, -643.048998, -614.803742, 832.381712, 853.574458, 1599.129793, 1520.751400, 4.030000
28.905906, -643.778443, -614.872537, 832.611643, 873.539358, 1598.464879, 1480.110094, 4.030000
29.014928, -643.910154, -614.895225, 832.857323, 876.834019, 1597.841289, 1486.218833, 4.030000
28.040686, -642.909327, -614.868642, 832.937626, 847.392305, 1597.639557, 1561.327719, 4.030000
26.643391, -641.406339, -614.762947, 832.785035, 805.165930, 1597.989205, 1661.275507, 4.030000
26.284249, -641.029025, -614.744776, 832.574803, 794.312611, 1598.493715, 1690.314587, 4.030000
27.319486, -642.154893, -614.835407, 832.536883, 825.597578, 1598.718345, 1639.825623, 4.030000
28.302089, -643.282993, -614.980903, 832.659883, 855.291954, 1598.680505, 1591.717929, 4.030000
27.566638, -642.473316, -614.906678, 832.662070, 833.066528, 1598.706682, 1603.549366, 4.030000
26.249009, -640.985384, -614.736374, 832.451298, 793.247670, 1598.898272, 1634.534022, 4.030000
